,DATE,kg_avg_price,fe_doy_sin,fe_doy_cos,fe_doy2_sin,fe_doy2_cos,fe_week_sin,fe_week_cos,fe_summer_ind,fe_stage_spring_facility,fe_stage_spring_openfield,fe_stage_semi_highland_1,fe_stage_highland,fe_stage_semi_highland_2,fe_stage_autumn
2670,2019-11-14,791.8898739513769,-0.7262249146041543,0.6874571793269664,-0.998497062701478,-0.0548052531836224,0.4338837391175582,-0.900968867902419,0.1294201282977755,0,0,0,0,0,1
2671,2019-11-15,802.6294282373585,-0.7142921172691032,0.699847677146407,-0.999791358149542,-0.0204264575855568,-0.433883739117558,-0.9009688679024191,0.1237024067768548,0,0,0,0,0,1
2672,2019-11-16,846.9102638055886,-0.7021479494046978,0.7120310787787131,-0.9999023237537764,0.0139765142935557,-0.9749279121818236,-0.2225209339563146,0.1181789171817805,0,0,0,0,0,1
2673,2019-11-18,876.4242874120546,-0.6772399381909491,0.7357622347736527,-0.996575140802686,0.082692132238239,0.0,1.0,0.1077011451900321,0,0,0,0,0,1
2674,2019-11-19,808.5842436543021,-0.6644834655228552,0.7473029667054297,-0.9931409302238696,0.116923448093473,0.7818314824680298,0.6234898018587336,0.1027398149024943,0,0,0,0,0,1
2675,2019-11-20,867.5536045999355,-0.6515303615068021,0.75862255966641,-0.9885312610933432,0.1510163760696315,0.9749279121818236,-0.2225209339563143,0.0979586452573397,0,0,0,0,0,1
2676,2019-11-21,845.7330650631357,-0.6383844591746642,0.769717664006921,-0.9827515893084884,0.1849305645685428,0.4338837391175582,-0.900968867902419,0.093353863304629,0,0,0,0,0,1
2677,2019-11-22,980.0925600096784,-0.6250496486104377,0.7805849965070866,-0.9758087555546684,0.2186258735439368,-0.433883739117558,-0.9009688679024191,0.0889216174593863,0,0,0,0,0,1
2678,2019-11-23,865.7597063646296,-0.6115298757991053,0.7912213413483807,-0.9677109772087537,0.2520624220102616,-0.9749279121818236,-0.2225209339563146,0.0846579886225299,0,0,0,0,0,1
2679,2019-11-25,802.7400359717615,-0.5839514998576998,0.8117885474764613,-0.948090279732366,0.3180012916278857,0.0,1.0,0.0766206321804935,0,0,0,0,0,1
